cvae_reduced_99_length,cvae_reduced_99_coverage,cvae_reduced_95_length,cvae_reduced_95_coverage,cvae_reduced_90_length,cvae_reduced_90_coverage,cvae_reduced_85_length,cvae_reduced_85_coverage,cvae_reduced_rsquared,fnn_reduced_99_length,fnn_reduced_99_coverage,fnn_reduced_95_length,fnn_reduced_95_coverage,fnn_reduced_90_length,fnn_reduced_90_coverage,fnn_reduced_85_length,fnn_reduced_85_coverage,fnn_reduced_rsquared,rf_reduced_99_length,rf_reduced_99_coverage,rf_reduced_95_length,rf_reduced_95_coverage,rf_reduced_90_length,rf_reduced_90_coverage,rf_reduced_85_length,rf_reduced_85_coverage,rf_reduced_rsquared,gp_reduced_99_length,gp_reduced_99_coverage,gp_reduced_95_length,gp_reduced_95_coverage,gp_reduced_90_length,gp_reduced_90_coverage,gp_reduced_85_length,gp_reduced_85_coverage,gp_reduced_rsquared
0.237759,0.983193,0.179824,0.915966,0.150544,0.890756,0.131573,0.848739,0.006827,0.238051,0.983193,0.180045,0.915966,0.150729,0.882353,0.131734,0.848739,0.046929,0.237827,0.983193,0.179875,0.915966,0.150587,0.890756,0.13161,8.40E-01,1.09E-02,0.2484104,0.9831933,0.189017,0.9243697,0.158628,0.8907563,0.13882698,0.8739496,0.04997593
0.244254,0.983193,0.184736,0.907563,0.154657,0.890756,0.135167,0.840336,0.002768,0.246358,0.983193,0.186328,0.915966,0.155989,0.890756,0.136331,0.848739,0.062828,0.245661,0.983193,0.1858,0.92437,0.155547,0.890756,0.135945,0.840336,0.012343,0.2568818,0.9831933,0.1954629,0.9243697,0.1640376,0.8907563,0.14356132,0.8739496,0.04975812
0.244564,0.983193,0.184971,0.915966,0.154853,0.882353,0.135339,0.840336,0.049921,0.24377,0.983193,0.18437,0.915966,0.15435,0.890756,0.134899,0.840336,0.010169,0.243693,0.983193,0.184312,0.92437,0.154301,0.890756,0.134857,0.848739,0.013379,0.2548942,0.9831933,0.1939506,0.9243697,0.1627684,0.8907563,0.14245055,0.8823529,0.04983338
0.234532,0.983193,0.177383,0.915966,0.148501,0.882353,0.129787,0.848739,0.0058,0.234929,0.983193,0.177683,0.915966,0.148752,0.882353,0.130006,0.848739,0.030907,0.234514,0.983193,0.17737,0.915966,0.148489,0.882353,0.129777,0.840336,0.013247,0.2479367,0.9831933,0.1886565,0.9243697,0.1583256,0.8823529,0.13856226,0.8739496,0.05357757
0.185058,0.97479,0.139965,0.89916,0.117175,0.857143,0.102409,0.848739,0.005451,0.191449,0.983193,0.144798,0.907563,0.121221,0.87395,0.105945,0.840336,0.04584,0.190996,0.983193,0.144455,0.915966,0.120934,0.87395,0.105694,0.840336,0.024435,0.2066617,0.9831933,0.1572501,0.9327731,0.1319685,0.8907563,0.11549523,0.8571429,0.06808028
0.242994,0.983193,0.183783,0.915966,0.153859,0.882353,0.13447,0.857143,0.016196,0.243335,0.983193,0.184041,0.915966,0.154075,0.882353,0.134658,0.848739,0.031295,0.242684,0.983193,0.183549,0.92437,0.153663,0.890756,0.134298,8.40E-01,1.03E-02,0.2547426,0.9831933,0.1938352,0.9243697,0.1626716,0.8823529,0.14236579,0.8739496,0.05067234
0.23384,0.983193,0.17686,0.915966,0.148063,0.882353,0.129404,0.848739,0.003921,0.231618,0.983193,0.175179,0.915966,0.146656,0.890756,0.128174,0.848739,0.043329,0.233676,0.983193,0.176736,0.915966,0.147959,0.890756,0.129313,0.840336,0.018847,0.2442822,0.9831933,0.1858758,0.9243697,0.1559919,0.8823529,0.13651988,0.8739496,0.04980035
0.209042,0.94958,0.158105,0.907563,0.132361,0.840336,0.115681,0.823529,0.017252,0.217258,0.983193,0.164318,0.915966,0.137563,0.87395,0.120228,0.840336,0.012983,0.216428,0.983193,0.163691,0.92437,0.137038,0.882353,0.119768,0.840336,0.020603,0.2320565,0.9831933,0.1765732,0.9243697,0.1481849,0.8907563,0.12968742,0.8739496,0.05990848
0.223153,0.983193,0.168777,0.907563,0.141296,0.882353,0.12349,0.840336,0.046372,0.223122,0.983193,0.168753,0.915966,0.141276,0.890756,0.123473,0.840336,0.054803,0.222405,0.983193,0.168211,0.92437,0.140822,0.882353,0.123076,0.840336,0.012437,0.237278,0.9831933,0.1805462,0.9243697,0.1515192,0.8907563,0.1326055,0.8655462,0.05787041
0.231367,0.983193,0.174989,0.915966,0.146497,0.882353,0.128035,0.848739,0.01079,0.231285,0.983193,0.174927,0.915966,0.146445,0.882353,0.12799,0.840336,0.044893,0.230787,0.983193,0.174551,0.915966,0.14613,0.882353,0.127715,0.840336,0.012068,0.245322,0.9831933,0.186667,0.9243697,0.1566559,0.8907563,0.13710101,0.8655462,0.05577674
