cvae,cvae_cali,fnn,fnn_cali,rf,rf_cali,gp,,,,,,,,,,,,,,,,,,,,
0.271866083,0.257618904,0.17858386,0.178272963,0.108100891,0.107811213,0.8630752,,,,,,,,,,,,,,,,,,,,
0.254955053,0.259716988,0.173326015,0.176831961,0.106440067,0.10718894,0.8338979,,,,,,,,,,,,,,,,,,,,
0.256561995,0.25549531,0.175179005,0.177026987,0.105892181,0.106423855,0.8428433,,,,,,,,,,,,,,,,,,,,
0.255673885,0.25393796,0.17513895,0.17842412,0.106206894,0.107112885,0.847421,,,,,,,,,,,,,,,,,,,,
0.261475086,0.256563902,0.17738986,0.177348852,0.105922699,0.106894016,0.8476527,,,,,,,,,,,,,,,,,,,,
0.261451006,0.359171152,0.17332077,0.177500248,0.106250048,0.106973171,0.8438644,,,,,,,,,,,,,,,,,,,,
0.252429247,0.307046175,0.174539089,0.171793222,0.10618782,0.106342077,0.8791065,,,,,,,,,,,,,,,,,,,,
0.257346869,0.344815731,0.174567938,0.176562071,0.10627985,0.106976032,0.8863748,,,,,,,,,,,,,,,,,,,,
0.251191139,0.291148186,0.175893068,0.173887968,0.105694056,0.106615067,0.8825325,,,,,,,,,,,,,,,,,,,,
0.258176088,0.264160156,0.170231819,0.178819656,0.106142282,0.107336283,0.8685201,,,,,,,,,,,,,,,,,,,,
0.249465942,0.261458874,0.17641592,0.183278799,0.105742216,0.106809855,0.8586532,,,,,,,,,,,,,,,,,,,,
0.273326159,0.258339643,0.17544198,0.188750267,0.106657982,0.106745243,0.8853709,,,,,,,,,,,,,,,,,,,,
0.262231112,0.249805927,0.174983978,0.182874918,0.106137753,0.107043743,0.8704339,,,,,,,,,,,,,,,,,,,,
0.261872053,0.258121967,0.17410779,0.184281111,0.105724812,0.106740952,0.8755869,,,,,,,,,,,,,,,,,,,,
0.253079891,0.266802788,0.175661087,0.183120012,0.10609889,0.107186794,0.9075849,,,,,,,,,,,,,,,,,,,,
0.248108149,0.259753942,0.173907042,0.176896095,0.106665134,0.106447935,0.9077251,,,,,,,,,,,,,,,,,,,,
0.256747007,0.262511969,0.172176123,0.177337885,0.107063055,0.106982946,0.8974524,,,,,,,,,,,,,,,,,,,,
0.252726078,0.262907982,0.174217939,0.174787045,0.106469154,0.106701136,0.9137879,,,,,,,,,,,,,,,,,,,,
0.252139091,0.262057066,0.174565792,0.173769951,0.106751204,0.10730195,0.8864973,,,,,,,,,,,,,,,,,,,,
0.25936389,0.254407167,0.175933123,0.173964024,0.105998993,0.106694937,0.9109763,,,,,,,,,,,,,,,,,,,,
0.259977102,0.341371775,0.174925804,0.173723936,0.1063869,0.106929302,0.8906926,,,,,,,,,,,,,,,,,,,,
0.259012222,0.353448868,0.174739838,0.179476976,0.105794907,0.106313944,0.881301,,,,,,,,,,,,,,,,,,,,
0.260345936,0.322417021,0.172498941,0.174348116,0.106282949,0.106132269,0.8929808,,,,,,,,,,,,,,,,,,,,
0.264309883,0.261024952,0.172205925,0.176047087,0.105761766,0.109885216,0.8816549,,,,,,,,,,,,,,,,,,,,
0.257228851,0.263141155,0.176038027,0.17589879,0.106282949,0.111891985,0.8859285,,,,,,,,,,,,,,,,,,,,
0.254558802,0.260056257,0.175139904,0.173278809,0.105990887,0.111345768,0.899936,,,,,,,,,,,,,,,,,,,,
0.261934042,0.266554832,0.17429924,0.177017212,0.106549025,0.110861063,0.8840103,,,,,,,,,,,,,,,,,,,,
0.25300312,0.25338912,0.174109221,0.173564911,0.106653929,0.110905886,0.899177,,,,,,,,,,,,,,,,,,,,
0.270094156,0.266278982,0.178693056,0.177028179,0.107032061,0.11134696,0.9077504,,,,,,,,,,,,,,,,,,,,
0.249533892,0.256281137,0.17870307,0.176710844,0.108861923,0.110292912,0.8975018,,,,,,,,,,,,,,,,,,,,
0.236972094,0.265084028,0.188014984,0.178140879,0.108971119,0.107291222,0.8991309,,,,,,,,,,,,,,,,,,,,
0.246883154,0.26649189,0.178630114,0.176628113,0.107768774,0.107397318,0.8980442,,,,,,,,,,,,,,,,,,,,
0.244098902,0.261487961,0.19077611,0.176098108,0.106580973,0.106726885,0.9017043,,,,,,,,,,,,,,,,,,,,
0.251050234,0.267430067,0.183205843,0.175529957,0.107239962,0.107048988,0.9480883,,,,,,,,,,,,,,,,,,,,
0.264412165,0.259016991,0.173700094,0.177218676,0.107015133,0.106433153,0.9199172,,,,,,,,,,,,,,,,,,,,
0.258080244,0.270371675,0.175035,0.17856884,0.10732317,0.107163906,0.8946201,,,,,,,,,,,,,,,,,,,,
0.263890982,0.258419037,0.172836781,0.17574811,0.106442928,0.106689215,0.8931301,,,,,,,,,,,,,,,,,,,,
0.257664919,0.267710209,0.175797939,0.179099798,0.107445002,0.107115984,0.9064799,,,,,,,,,,,,,,,,,,,,
0.260367155,0.257439852,0.170401096,0.182681799,0.107262135,0.107006073,0.8881491,,,,,,,,,,,,,,,,,,,,
0.258673191,0.268784046,0.170824051,0.185578108,0.10757494,0.106847525,0.8910002,,,,,,,,,,,,,,,,,,,,
0.259162903,0.259747982,0.17339015,0.182879925,0.106547117,0.106973171,0.9218456,,,,,,,,,,,,,,,,,,,,
0.253582239,0.268156052,0.17472887,0.186537981,0.107072115,0.106596947,0.8919872,,,,,,,,,,,,,,,,,,,,
0.264228106,0.258771896,0.170804977,0.189414024,0.106767178,0.107076883,0.9018399,,,,,,,,,,,,,,,,,,,,
0.258619785,0.266112804,0.170629025,0.177886963,0.106905937,0.106546164,0.9167765,,,,,,,,,,,,,,,,,,,,
0.264714956,0.259371996,0.171240807,0.17784214,0.106956005,0.107020855,0.8934299,,,,,,,,,,,,,,,,,,,,
0.261815071,0.268164158,0.174866915,0.17671299,0.106684923,0.106598139,0.875407,,,,,,,,,,,,,,,,,,,,
0.270323992,0.253268003,0.176512957,0.176156044,0.106807947,0.107192755,0.9101627,,,,,,,,,,,,,,,,,,,,
0.261819124,0.266518831,0.175824165,0.177734852,0.106658936,0.106688976,0.8901636,,,,,,,,,,,,,,,,,,,,
0.310940742,0.260914326,0.177261829,0.178442955,0.106981039,0.106914043,0.8914762,,,,,,,,,,,,,,,,,,,,
0.314586878,0.262326956,0.173791885,0.178677797,0.106920004,0.106403828,0.9168578,,,,,,,,,,,,,,,,,,,,
0.324424982,0.269868851,0.177778959,0.174644947,0.107096195,0.107446909,0.8968884,,,,,,,,,,,,,,,,,,,,
0.306493044,0.258197069,0.177026033,0.179884911,0.106751919,0.106721878,0.8827937,,,,,,,,,,,,,,,,,,,,
0.262454987,0.264853954,0.171192169,0.177444935,0.107226849,0.107138872,0.9073725,,,,,,,,,,,,,,,,,,,,
0.264915943,0.262794971,0.174679041,0.176050901,0.107897043,0.107119083,0.8958182,,,,,,,,,,,,,,,,,,,,
0.25993681,0.264907122,0.173849106,0.174755096,0.111653805,0.106927872,0.8890075,,,,,,,,,,,,,,,,,,,,
0.262634993,0.254854918,0.173839808,0.173171997,0.11097908,0.107146978,0.8997744,,,,,,,,,,,,,,,,,,,,
0.259716988,0.271810055,0.173794031,0.177156925,0.112097025,0.10687685,0.8989883,,,,,,,,,,,,,,,,,,,,
0.25724721,0.261185169,0.17398715,0.17681694,0.112902164,0.107244015,0.8819691,,,,,,,,,,,,,,,,,,,,
0.259693146,0.260835886,0.174039125,0.177338123,0.112257004,0.106660128,0.9257798,,,,,,,,,,,,,,,,,,,,
0.260548115,0.260429859,0.171372175,0.178369045,0.115117073,0.107252836,0.8928911,,,,,,,,,,,,,,,,,,,,
0.258385897,0.261305809,0.173216105,0.177078724,0.106839895,0.106933117,0.8972682,,,,,,,,,,,,,,,,,,,,
0.258577108,0.253197908,0.170488834,0.178111792,0.110381126,0.107246876,0.8941014,,,,,,,,,,,,,,,,,,,,
0.256122828,0.255992651,0.174897194,0.173123121,0.108253956,0.10680604,0.9002113,,,,,,,,,,,,,,,,,,,,
0.254088879,0.257609844,0.169934034,0.175930023,0.107261896,0.107254028,0.8760367,,,,,,,,,,,,,,,,,,,,
0.260816097,0.270897865,0.174929857,0.176917076,0.106629133,0.106852055,0.9140342,,,,,,,,,,,,,,,,,,,,
0.255897045,0.329042912,0.175364017,0.178102016,0.109807014,0.107352257,0.8945461,,,,,,,,,,,,,,,,,,,,
0.281952858,0.353212118,0.1737113,0.175415993,0.109926939,0.106743097,0.8951261,,,,,,,,,,,,,,,,,,,,
0.281692982,0.32366395,0.175252438,0.176163912,0.108088017,0.107168913,0.9124413,,,,,,,,,,,,,,,,,,,,
0.263606071,0.260710955,0.173352957,0.177374125,0.107667923,0.106723785,0.8944428,,,,,,,,,,,,,,,,,,,,
0.245589972,0.269225836,0.174209118,0.177608252,0.107299089,0.107207298,0.887894,,,,,,,,,,,,,,,,,,,,
0.254004955,0.259584904,0.173581123,0.177987814,0.108700037,0.107167006,0.9164777,,,,,,,,,,,,,,,,,,,,
0.269192934,0.260059834,0.173058748,0.179087162,0.108198881,0.106671095,0.8873405,,,,,,,,,,,,,,,,,,,,
0.245527267,0.254316092,0.17189002,0.17557025,0.108422041,0.10723114,0.9156049,,,,,,,,,,,,,,,,,,,,
0.241065979,0.262916088,0.173392296,0.177042961,0.108191013,0.106756926,0.9163753,,,,,,,,,,,,,,,,,,,,
